pcode,label,url,ref,time,orderid,revenue
p-TGwEB8eG93gvD,_fp.event.Phones,,http://www.frawgwireless.com/phones,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,,http://www.frawgwireless.com/prepaid-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/phones/alcatel-one-touch-960c-white,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.frawgwireless.com/?gclid=CISj6Y7BwrwCFTHNOgodeT4ABw,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Phones,http://www.frawgwireless.com/phones,http://search.yahoo.com/mobile/s?rewrite=72&.tsrc=apple&first=1&p=Frawg+phones&pintl=en&pcarrier=Sprint&pmcc=310&pmnc=038&fr=onesearch,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.google.com/search?hl=en-US&ie=UTF-8&q=frawg,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.google.com/search?hl=en&redir_esc=&client=ms-android-alcatel&source=android-browser-type&v=133247963&qsubts=1392067129925&action=devloc&q=www.frawg+wireless.com&v=133247963,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.bing.com/search?q=ntelos+no+contract+phones&qs=LS&sk=LS1&pq=ntelos+no&sc=8-9&sp=2&FORM=QBLH&cvid=b394a23244064a219d430a223b26902c,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.bing.com/search?q=frawg&form=IE10TR&src=IE10TR&pc=DCJB&mkt=zh-CN,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.google.com/search?site=&source=hp&ei=RUr5UvnmL8fy0gGz9oHACQ&q=frawg+login&oq=fraw&gs_l=mobile-gws-hp.1.3.0l5.12451.16264.0.22372.5.5.0.1.1.0.563.1952.2-1j2j1j1.5.0....0...1c.1.34.mobile-gws-hp..0.5.1439.lu1GVYWgtrQ,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.ntelos.com/,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/prepaid-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/prepaid-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/prepaid-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Phones,,http://www.frawgwireless.com/phones,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,https://www.google.com/,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=1&ved=0CDIQFjAA&url=http%3A%2F%2Fwww.frawgwireless.com%2F&ei=7lD5UsfOMOi20gGnlIHIDQ&usg=AFQjCNFD4W_JtQykdI3ZrQ4WD_Lh6kFFew&bvm=bv.60983673,d.dmQ",2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.ntelos.com/wireless-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.google.com/search?client=ms-android-samsung&source=android-home&site=webhp&source=hp&ei=Icb3UtmSM8T70gHmnIDIDw&q=frog+wireless&oq=Frog&gs_l=mobile-gws-hp.1.2.0l5.4396.11164.0.14497.6.6.0.2.2.0.493.2391.3-4j2.6.0....0...1c.1.34.mobile-gws-hp..0.6.1625.V43TX9q7-SQ,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.bing.com/search?q=frawg+wireless&form=DLRDF8&pc=MDDR&src=IE-SearchBox,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.google.com/search?site=&source=hp&ei=FT35Uu_nGMKW0QGJ6IGIDQ&q=frog+wireless&oq=frog+wireless&gs_l=mobile-gws-hp.12..0l5.35529.42639.0.44138.11.11.0.4.4.0.801.5993.0j1j0j1j1j6j2.11.0....0...1c.1.34.mobile-gws-hp..1.10.3884.QKgM1kJ6P7o,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Phones,,http://www.frawgwireless.com/phones,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/mobile-broadband,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,https://sales.liveperson.net/hc/web/repcobrowse/?site=61336259&repid=975995570593422049365087819933&visid=10149531&siteContainer=STANDALONE&url=http://www.frawgwireless.com/&pageIndex=0&pageViewerRequestId=22&additionalInfo=false,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.google.com/,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.ntelos.com/wireless-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/prepaid-plans?gclid=CI6j0Zy6wrwCFdKIfgodozkAcQ,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=4&ved=0CEwQjBAwAw&url=http%3A%2F%2Fwww.frawgwireless.com%2Fprepaid-plans&ei=MEP5Ut6jMonv0wHktoDQCg&usg=AFQjCNEaE1lHld1FlV6taEWC5htM04hrZQ&bvm=bv.60983673,d.dmQ",2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,http://www.bing.com/search?q=frawg&src=IE-TopResult&FORM=IE11TR&conversationid=,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,https://www.google.com/,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.ntelos.com/wireless-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.ntelos.com/Pages/all-phones.aspx?features=Smartphones&brands=Samsung?utm_source=bing&utm_campaign=ntelos-q2-smartphone-ecomm&utm_content=Samsung&target=samsung%20galaxy%20s%20ii&b&type=search,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.frawgwireless.com/prepaid-plans,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Prepaid Plans,http://www.frawgwireless.com/prepaid-plans,http://www.ntelos.com/,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,https://www.google.com/,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Phones,,http://www.frawgwireless.com/phones,2/10/14,,
p-TGwEB8eG93gvD,_fp.event.Homepage,http://www.frawgwireless.com/,"http://www.google.com/url?sa=t&rct=j&q=what%20is%20frawg%20wireless&source=web&cd=1&ved=0CDEQFjAA&url=http%3A%2F%2Fwww.frawgwireless.com%2F&ei=S0v5UrvGCK7x0wH_wIGYBw&usg=AFQjCNFD4W_JtQykdI3ZrQ4WD_Lh6kFFew&sig2=1XI-BmBOTt_9h4SiUpWgZQ&bvm=bv.60983673,d.dmQ",2/10/14,,
